-----Data0
0.1898	0.3422	0.3397	0.2790
0.1783	0.3442	0.3789	0.3297
0.1688	0.3610	0.4281	0.3988
0.1637	0.3590	0.4805	0.4668
0.1649	0.3484	0.5426	0.5429
0.1621	0.3442	0.6100	0.6332
0.1545	0.3369	0.6472	0.7079
0.1413	0.3204	0.6763	0.7661
0.1335	0.3008	0.6870	0.8109
0.1198	0.2852	0.6668	0.8406
0.1153	0.2625	0.6296	0.8624
0.1100	0.2337	0.5871	0.8582
0.1008	0.2127	0.5423	0.8353
0.0918	0.1844	0.4684	0.7773
0.0854	0.1646	0.4091	0.7191
0.0596	0.1450	0.3498	0.6492
0.0527	0.1341	0.3034	0.5876
0.0471	0.1198	0.2824	0.5132
0.0342	0.1246	0.2709	0.4981
0.0331	0.1246	0.2510	0.4237
0.0314	0.1181	0.2278	0.3201
0.0252	0.0901	0.1973	0.2966
0.0244	0.0851	0.1984	0.2558
0.0210	0.0790	0.1867	0.2286
0.0163	0.0781	0.1783	0.2093
0.0160	0.0728	0.1671	0.1884
0.0152	0.0652	0.1503	0.1760
0.0023	0.0541	0.1282	0.1509
0.0020	0.0487	0.1257	0.1422
0.0068	0.0373	0.1092	0.1195
0.0104	0.0406	0.0974	0.1033
0.0068	0.0291	0.0854	0.0977
0.0051	0.0264	0.0630	0.0734
0.0026	0.0163	0.0445	0.0473
0.0006	0.0042	0.0174	0.0160


